year,ers_region,crop,cov_level,group,indemnity,liability,loss_cost,cert,trans
2018,Heartland,Corn,0.8,certified,1998668.0,36302081.0,0.05505656824466895,1,0
2018,Heartland,Corn,0.75,certified,2282766.0,20975327.0,0.108831008927775,1,0
2018,Heartland,Corn,0.85,conventional,174936675.0,6719820118.0,0.026032940157342466,0,0
2018,Heartland,Corn,0.75,transitional,69410.0,1043926.0,0.0664893871787847,0,1
2018,Heartland,Wheat,0.5,conventional,16888.0,714034.0,0.023651534800863825,0,0
2018,Heartland,Wheat,0.8,certified,64816.0,833523.0,0.07776150148226264,1,0
2018,Heartland,Corn,0.85,certified,3168884.0,29364939.0,0.10791386285529148,1,0
2018,Heartland,Wheat,0.7,certified,203345.0,555482.0,0.3660694675975099,1,0
2018,Heartland,Corn,0.5,certified,0.0,1730609.0,0.0,1,0
2018,Heartland,Corn,0.7,certified,378401.0,6096904.0,0.06206445107221632,1,0
2018,Heartland,Wheat,0.85,transitional,0.0,78797.0,0.0,0,1
2018,Heartland,Corn,0.85,transitional,108759.0,1321552.0,0.0822964211775246,0,1
2018,Heartland,Wheat,0.65,certified,29407.0,184701.0,0.1592140811365396,1,0
2018,Heartland,Wheat,0.65,transitional,0.0,10007.0,0.0,0,1
2018,Heartland,Corn,0.65,certified,58136.0,1133433.0,0.05129195991293707,1,0
2018,Heartland,Wheat,0.85,certified,73118.0,321843.0,0.2271853046361114,1,0
2018,Heartland,Wheat,0.8,transitional,10400.0,101949.0,0.1020117902088299,0,1
2018,Heartland,Wheat,0.7,transitional,0.0,1660.0,0.0,0,1
2018,Heartland,Corn,0.8,transitional,65653.0,3545263.0,0.018518513295064428,0,1
2018,Heartland,Wheat,0.55,conventional,2363.0,149869.0,0.0157671032701893,0,0
2018,Heartland,Corn,0.6,certified,34125.0,271060.0,0.12589463587397623,1,0
2018,Heartland,Soybeans,0.65,conventional,2654284.0,117922855.0,0.022508647708707526,0,0
2018,Heartland,Soybeans,0.7,conventional,10081540.0,405323536.0,0.02487282159701676,0,0
2018,Heartland,Soybeans,0.7,certified,349950.0,2512588.0,0.1392787038702724,1,0
2018,Heartland,Soybeans,0.75,conventional,39708695.0,1362084044.0,0.02915289638324256,0,0
2018,Heartland,Soybeans,0.8,conventional,94994189.0,2420219469.0,0.039250237516372945,0,0
2018,Heartland,Soybeans,0.85,conventional,111287799.0,1948221557.0,0.05712276337367311,0,0
2018,Heartland,Soybeans,0.5,conventional,378610.0,26853470.0,0.014099108979211997,0,0
2018,Heartland,Soybeans,0.75,certified,574317.0,5074509.0,0.11317686105197566,1,0
2018,Heartland,Soybeans,0.55,conventional,64685.0,5020668.0,0.012883743756806863,0,0
2018,Heartland,Soybeans,0.6,conventional,458476.0,28401258.0,0.01614280606866076,0,0
2018,Heartland,Soybeans,0.8,certified,1303809.0,9238035.0,0.1411348842042707,1,0
2018,Heartland,Soybeans,0.8,transitional,81336.0,1124176.0,0.07235166023825451,0,1
2018,Heartland,Soybeans,0.85,certified,1448932.0,5774415.0,0.2509227341644132,1,0
2018,Heartland,Corn,0.5,transitional,0.0,22902.0,0.0,0,1
2018,Heartland,Soybeans,0.5,transitional,0.0,34845.0,0.0,0,1
2018,Heartland,Soybeans,0.85,transitional,39186.0,743155.0,0.052729242217303254,0,1
2018,Heartland,Corn,0.55,certified,2157.0,19773.0,0.10908815050826885,1,0
2018,Heartland,Soybeans,0.6,certified,6024.0,461614.0,0.013049864172230478,1,0
2018,Heartland,Soybeans,0.65,certified,12653.0,412863.0,0.03064697006028634,1,0
2018,Heartland,Soybeans,0.7,transitional,8238.0,92176.0,0.08937250477347683,0,1
2018,Heartland,Soybeans,0.5,certified,1383.0,32945.0,0.04197905600242829,1,0
2018,Heartland,Soybeans,0.75,transitional,57993.0,330581.0,0.17542750490802556,0,1
2018,Prairie Gateway,Soybeans,0.55,conventional,38634.0,857362.0,0.045061479281796955,0,0
2018,Prairie Gateway,Soybeans,0.6,conventional,202942.0,4359841.0,0.04654802778358202,0,0
2018,Prairie Gateway,Soybeans,0.65,certified,10683.0,78636.0,0.13585380741645048,1,0
2018,Prairie Gateway,Soybeans,0.8,certified,49343.0,215014.0,0.22948738221697193,1,0
2018,Prairie Gateway,Soybeans,0.85,conventional,1715162.0,32372118.0,0.052982693316513924,0,0
2018,Prairie Gateway,Wheat,0.85,conventional,167465.0,837566.0,0.19994245229629665,0,0
2018,Prairie Gateway,Soybeans,0.75,certified,100973.0,261833.0,0.3856389377962289,1,0
2018,Prairie Gateway,Soybeans,0.75,transitional,55392.0,388938.0,0.1424185859957114,0,1
2018,Prairie Gateway,Soybeans,0.6,certified,11504.0,13594.0,0.8462557010445785,1,0
2018,Prairie Gateway,Wheat,0.75,transitional,0.0,11364.0,0.0,0,1
2018,Prairie Gateway,Wheat,0.85,certified,0.0,64761.0,0.0,1,0
2018,Prairie Gateway,Corn,0.7,transitional,167718.0,942903.0,0.1778740761244794,0,1
2018,Prairie Gateway,Wheat,0.8,certified,6294.0,21691.0,0.2901664284726384,1,0
2018,Prairie Gateway,Wheat,0.8,transitional,3247.0,8352.0,0.3887691570881226,0,1
2018,Prairie Gateway,Wheat,0.6,certified,81593.0,370853.0,0.2200143992363551,1,0
2018,Prairie Gateway,Wheat,0.65,transitional,0.0,10403.0,0.0,0,1
2018,Eastern Uplands,Corn,0.65,conventional,28944.0,1202795.0,0.02406395104735221,0,0
2018,Eastern Uplands,Corn,0.8,conventional,1939000.0,26257972.0,0.07384424052245923,0,0
2018,Eastern Uplands,Corn,0.8,certified,216046.0,347520.0,0.6216793278084715,1,0
2018,Eastern Uplands,Corn,0.85,conventional,0.0,1053646.0,0.0,0,0
2018,Eastern Uplands,Corn,0.5,conventional,1267.0,686461.0,0.0018456984446312318,0,0
2018,Eastern Uplands,Corn,0.6,conventional,8627.0,276666.0,0.031182002848199636,0,0
2018,Eastern Uplands,Corn,0.7,certified,21136.0,30852.0,0.6850771424867107,1,0
2018,Mississippi Portal,Corn,0.8,certified,467910.0,571524.0,0.8187057761353854,1,0
2018,Mississippi Portal,Corn,0.75,certified,106528.0,730442.0,0.14584046371922754,1,0
2018,Northern Crescent,Wheat,0.6,conventional,11597.0,1924148.0,0.006027083155765564,0,0
2018,Northern Crescent,Wheat,0.75,conventional,1165943.0,30697832.0,0.03798128154457292,0,0
2018,Northern Crescent,Wheat,0.75,certified,162936.0,2192048.0,0.07433048911337709,1,0
2018,Southern Seaboard,Corn,0.75,transitional,0.0,16433.0,0.0,0,1
2018,Southern Seaboard,Soybeans,0.55,conventional,9638.0,571485.0,0.01686483459758349,0,0
2018,Southern Seaboard,Soybeans,0.8,conventional,2217366.0,24966200.0,0.08881471749805737,0,0
2018,Southern Seaboard,Soybeans,0.85,conventional,171850.0,1953401.0,0.0879747681095689,0,0
2018,Southern Seaboard,Soybeans,0.85,transitional,0.0,33906.0,0.0,0,1
2018,Northern Crescent,Corn,0.5,certified,22787.0,2704547.0,0.008425440563613796,1,0
2018,Northern Crescent,Corn,0.6,conventional,317523.0,30071962.0,0.01055877232087484,0,0
2018,Northern Crescent,Corn,0.65,conventional,874291.0,64304119.0,0.013596189693540471,0,0
2018,Northern Crescent,Corn,0.7,conventional,6947860.0,333070631.0,0.02086001992772518,0,0
2018,Northern Crescent,Corn,0.8,conventional,29924869.0,993545728.0,0.030119266941279626,0,0
2018,Northern Crescent,Soybeans,0.5,conventional,19938.0,5593239.0,0.0035646608342679437,0,0
2018,Northern Crescent,Soybeans,0.5,certified,0.0,166854.0,0.0,1,0
2018,Northern Crescent,Soybeans,0.55,conventional,5359.0,1963748.0,0.002728965223643767,0,0
2018,Northern Crescent,Soybeans,0.6,conventional,101070.0,6116685.0,0.016523656196125842,0,0
2018,Northern Crescent,Soybeans,0.65,conventional,355082.0,16241596.0,0.021862506615729145,0,0
2018,Northern Crescent,Soybeans,0.7,conventional,2177657.0,80963656.0,0.026896722647999,0,0
